Timestamp,Open,High,Low,Close,Volume
2026-07-20T09:15:00,200.0,201.0,197.0,198.0,10000
2026-07-20T09:30:00,198.0,199.0,195.0,196.0,10000
2026-07-20T09:45:00,196.0,197.0,193.0,194.0,10000
2026-07-20T10:00:00,194.0,195.0,191.0,192.0,10000
2026-07-20T10:15:00,192.0,193.0,189.0,190.0,10000
2026-07-20T10:30:00,190.0,191.0,187.0,188.0,10000
2026-07-20T10:45:00,188.0,189.0,185.0,186.0,10000
2026-07-20T11:00:00,186.0,187.0,183.0,184.0,10000
2026-07-20T11:15:00,184.0,185.0,181.0,182.0,10000
2026-07-20T11:30:00,182.0,183.0,179.0,180.0,10000
2026-07-20T11:45:00,180.0,181.0,177.0,178.0,10000
2026-07-20T12:00:00,178.0,179.0,175.0,176.0,10000
2026-07-20T12:15:00,176.0,177.0,173.0,174.0,10000
2026-07-20T12:30:00,174.0,175.0,171.0,172.0,10000
2026-07-20T12:45:00,172.0,173.0,169.0,170.0,10000
2026-07-20T13:00:00,170.0,171.0,167.0,168.0,10000
2026-07-20T13:15:00,168.0,169.0,165.0,166.0,10000
2026-07-20T13:30:00,166.0,167.0,163.0,164.0,10000
2026-07-20T13:45:00,164.0,165.0,161.0,162.0,10000
2026-07-20T14:00:00,162.0,163.0,159.0,160.0,10000
2026-07-20T14:15:00,160.0,161.0,157.0,158.0,10000
2026-07-20T14:30:00,158.0,159.0,155.0,156.0,10000
2026-07-20T14:45:00,156.0,157.0,153.0,154.0,10000
2026-07-20T15:00:00,154.0,155.0,151.0,152.0,10000
2026-07-20T15:15:00,152.0,153.0,149.0,150.0,10000
2026-07-21T07:30:00,150.0,151.0,147.0,148.0,10000
2026-07-21T07:45:00,148.0,149.0,145.0,146.0,10000
2026-07-21T08:00:00,146.0,147.0,143.0,144.0,10000
2026-07-21T08:15:00,144.0,145.0,141.0,142.0,10000
2026-07-21T08:30:00,142.0,143.0,139.0,140.0,10000
2026-07-21T08:45:00,140.0,141.0,137.0,138.0,10000
2026-07-21T09:00:00,138.0,139.0,135.0,136.0,10000
2026-07-21T09:15:00,136.0,137.0,133.0,134.0,10000
2026-07-21T09:30:00,134.0,135.0,131.0,132.0,10000
2026-07-21T09:45:00,132.0,133.0,129.0,130.0,10000
2026-07-21T10:00:00,130.0,131.0,127.0,128.0,10000
2026-07-21T10:15:00,128.0,129.0,125.0,126.0,10000
2026-07-21T10:30:00,126.0,127.0,123.0,124.0,10000
2026-07-21T10:45:00,124.0,125.0,121.0,122.0,10000
2026-07-21T11:00:00,122.0,123.0,119.0,120.0,10000
